,Crop,N_min,N_max,P_min,P_max,K_min,K_max,Avg_Temp,Rainfall,Productivity,EUR/ha,EUR/kg,Area,Production,Production_kg
39,Arecanut,79,100,28,40,79,140,24.61958333333333,1090.14,710.0,3645.4259596,5.13440276,600.0,426.0,426000.0
40,Arecanut,79,100,28,40,79,140,24.861666666666665,1199.13,3507.726269315673,18010.0794384989,5.13440276,453.0,1589.0,1589000.0
41,Arecanut,79,100,28,40,79,140,24.264166666666668,931.06,710.0,3645.4259596,5.13440276,400.0,284.0,284000.0
42,Arecanut,79,100,28,40,79,140,24.23625,867.48,709.2731829573935,3641.6941881704265,5.13440276,798.0,566.0,566000.0
43,Arecanut,79,100,28,40,79,140,24.927916666666665,774.2200000000001,710.077519379845,3645.8239753178295,5.13440276,645.0,458.0,458000.0
44,Arecanut,79,100,28,40,79,140,24.26125,982.61,710.0591715976332,3645.7297704142015,5.13440276,676.0,480.0,480000.0
45,Arecanut,79,100,28,40,79,140,24.402916666666663,945.67,3507.1942446043167,18007.34780935252,5.13440276,556.0,1950.0,1950000.0
46,Arecanut,79,100,28,40,79,140,24.31833333333333,918.29,709.551656920078,3643.123985653022,5.13440276,1026.0,728.0,728000.0
47,Arecanut,79,100,28,40,79,140,24.432916666666667,1194.62,3507.1350164654227,18007.04370823271,5.13440276,911.0,3195.0,3195000.0
48,Arecanut,79,100,28,40,79,140,24.32958333333333,1169.7599999999998,3507.664562669071,18009.76261172227,5.13440276,1109.0,3890.0,3890000.0
49,Arecanut,79,100,28,40,79,140,24.68208333333334,963.38,3507.5046904315195,18008.94176326454,5.13440276,1066.0,3739.0,3739000.0
50,Arecanut,79,100,28,40,79,140,24.69833333333333,1124.5200000000002,10813.09090909091,55518.76380776728,5.13440276,1375.0,14868.0,14868000.0
51,Arecanut,79,100,28,40,79,140,24.226666666666667,970.54,8098.314606741573,41580.00886820225,5.13440276,1424.0,11532.0,11532000.0
52,Arecanut,79,100,28,40,79,140,24.74375000000001,665.85,8026.1951538965295,41209.71855046497,5.13440276,1527.0,12256.0,12256000.0
53,Arecanut,79,100,28,40,79,140,24.617916666666662,920.9399999999998,11138.528138528138,57189.68961679654,5.13440276,1617.0,18011.0,18011000.0
54,Arecanut,79,100,28,40,79,140,24.88958333333333,1156.95,9252.519596864502,47506.16215509519,5.13440276,1786.0,16525.0,16525000.0
55,Arecanut,79,100,28,40,79,140,24.975416666666668,789.85,1398.4126984126983,7180.014018349207,5.13440276,630.0,881.0,881000.0
